#SN      Host Galaxy      Date         R.A.    Decl.    Offset   Mag.   Disc. Ref.            SN Position         Posn. Ref.       Type  SN      Discoverer(s)

2007tw  Anon.            2007 11 05  02 05.5 -05 03                    CBET 1186       02 05 32.96 -05 02 46.6   CBET 1186        Ia    2007tw  ESSENCE
2007tv  Anon.            2007 11 05  02 05.2 -05 02                    CBET 1186       02 05 13.33 -05 01 42.5   CBET 1186        Ia    2007tv  ESSENCE
2007tu  Anon.            2007 11 05  01 14.1 -00 36                    CBET 1186       01 14 05.22 -00 36 25.6   CBET 1186        II    2007tu  ESSENCE
2007tt  Anon.            2007 11 05  01 11.3 -00 12                    CBET 1186       01 11 20.52 -00 12 19.3   CBET 1186        Ia    2007tt  ESSENCE
2007ts  Anon.            2007 11 05  01 08.0 +00 28                    CBET 1186       01 07 58.17 +00 27 49.0   CBET 1186        Ia    2007ts  ESSENCE
2007tr  Anon.            2007 10 18  01 10.8 +00 14                    CBET 1186       01 10 48.01 +00 13 36.8   CBET 1186        Ia    2007tr  ESSENCE
2007tq  Anon.            2007 10 16  02 29.4 -07 52                    CBET 1186       02 29 23.34 -07 52 27.7   CBET 1186        Ia    2007tq  ESSENCE
2007tp  Anon.            2007 10 10  02 30.4 -09 14                    CBET 1186       02 30 23.94 -09 13 39.8   CBET 1186        Ia    2007tp  ESSENCE
2007to  Anon.            2007 10 10  02 29.7 -09 02                    CBET 1186       02 29 42.06 -09 02 05.2   CBET 1186        Ia    2007to  ESSENCE
2007tn  Anon.            2007 10 10  02 28.2 -08 37                    CBET 1186       02 28 14.79 -08 36 32.2   CBET 1186        II    2007tn  ESSENCE
2007tm  Anon.            2007 10 10  02 06.1 -03 32                    CBET 1186       02 06 04.74 -03 32 29.3   CBET 1186        Ia    2007tm  ESSENCE
2007tl  Anon.            2007 10 10  01 11.1 -00 16                    CBET 1186       01 11 04.91 -00 15 43.3   CBET 1186        Ia    2007tl  ESSENCE
2007tk  Anon.            2007 10 08  02 30.4 -08 18                    CBET 1186       02 30 24.61 -08 17 54.4   CBET 1186        Ia    2007tk  ESSENCE
2007tj  Anon.            2007 10 08  02 11.1 -04 12                    CBET 1186       02 11 04.61 -04 11 50.0   CBET 1186        Ia    2007tj  ESSENCE
2007ti  Anon.            2007 10 08  02 10.2 -04 40                    CBET 1186       02 10 09.84 -04 39 49.3   CBET 1186        Ia    2007ti  ESSENCE
2007th  Anon.            2007 10 06  02 11.0 -05 00                    CBET 1186       02 10 57.57 -05 00 24.9   CBET 1186        Ia    2007th  ESSENCE
2007tg  Anon.            2007 10 06  02 06.2 -04 42                    CBET 1186       02 06 10.51 -04 42 23.2   CBET 1186        Ia    2007tg  ESSENCE
2007tf  Anon.            2007 10 06  01 10.0 -00 01                    CBET 1186       01 09 59.35 -00 01 07.0   CBET 1186        Ia    2007tf  ESSENCE
2007te  Anon.            2007 10 04  02 09.5 -03 36                    CBET 1186       02 09 29.40 -03 35 35.0   CBET 1186        Ia    2007te  ESSENCE
2007td  Anon.            2007 10 04  02 04.4 -03 44                    CBET 1186       02 04 26.90 -03 44 18.9   CBET 1186        Ia    2007td  ESSENCE
2007tc  Anon.            2007 10 04  01 14.8 +00 17                    CBET 1186       01 14 46.90 +00 17 06.6   CBET 1186        Ia    2007tc  ESSENCE
2007tb  Anon.            2007 10 04  01 14.7 +00 47                    CBET 1186       01 14 41.25 +00 46 51.8   CBET 1186        Ia    2007tb  ESSENCE
2007ta  Anon.            2007 10 04  01 13.3 -00 02                    CBET 1186       01 13 15.80 -00 01 31.4   CBET 1186        Ia    2007ta  ESSENCE
2007sz  Anon.            2007 10 02  02 07.0 -05 06                    CBET 1186       02 07 00.23 -05 06 08.2   CBET 1186        II    2007sz  ESSENCE
2007sy  Anon.            2007 10 02  01 15.4 +00 49                    CBET 1186       01 15 25.99 +00 49 06.5   CBET 1186        II    2007sy  ESSENCE
2007sx  Anon.            2007 10 02  01 10.2 -00 42                    CBET 1186       01 10 09.25 -00 42 08.0   CBET 1186        II    2007sx  ESSENCE
2007sw  UGC 7228         2007 12 29  12 13.6 +46 30    1E   2S  16.0   CBET 1185       12 13 36.88 +46 29 36.1   CBET 1185        Ia    2007sw  Quimby et al.
2007sv  UGC 5979         2007 12 20  10 52.7 +67 59    7W   7S  17.4   CBET 1182       10 52 40.05 +67 59 14.2   CBET 1182        ?     2007sv  Duszanowicz
2007su  Anon.            2007 12 19  22 19.1 +13 11    0E   0S  17.1   CBET 1178       22 19 08.88 +13 10 40.3   CBET 1178        Ia    2007su  Yuan et al.
2007st  NGC 692          2007 12 22  01 48.7 -48 39    4E   4S  15.0   CBET 1177       01 48 42.47 -48 38 57.8   CBET 1177        Ia    2007st  Monard
2007ss  NGC 4617         2007 12 20  12 41.1 +50 23    3E   8S  16.6   CBET 1175       12 41 06.07 +50 23 28.7   CBET 1175        Ia    2007ss  Ichimura
2007sr  NGC 4038         2007 12 18  12 01.9 -18 58             12.9   CBET 1172       12 01 52.80 -18 58 21.7   CBET 1172        Ia    2007sr  Drake et al.
2007sq  MCG -03-23-5     2007 12 08  08 47.3 -20 01   11W  42N  17.9   CBET 1170       08 47 16.13 -20 01 27.6   CBET 1170        IIP   2007sq  Parisky, Li (LOSS)
2007sp  Anon.            2007 12 14  12 04.7 +49 11   38W   2S  16.8   CBET 1169       12 04 42.29 +49 11 09.3   CBET 1169        Ia    2007sp  Yuan, Quimby, Akerlof, Wheeler (ROTSE)
2007so  NGC 1109         2007 12 13  02 47.7 +13 15    6W   4S  17.0   CBET 1168       02 47 43.13 +13 15 14.8   CBET 1168        Ia    2007so  Madison, Li (LOSS)
2007sn  Anon.            2007 11 27  22 14.1 -00 13             21.3   CBET 1167       22 14 04.42 -00 12 47.5   CBET 1167        Ia    2007sn  Sloan Digital Sky Survey II
2007sm  Anon.            2007 11 27  21 22.8 +00 25             20.4   CBET 1167       21 22 50.57 +00 25 17.9   CBET 1167        Ia    2007sm  Sloan Digital Sky Survey II
2007sl  Anon.            2007 11 17  21 13.7 -00 50             21.3   CBET 1167       21 13 42.82 -00 50 16.0   CBET 1167        Ia    2007sl  Sloan Digital Sky Survey II
2007sk  Anon.            2007 11 17  01 27.1 +01 13             21.9   CBET 1167       01 27 05.25 +01 12 54.5   CBET 1167        II    2007sk  Sloan Digital Sky Survey II
2007sj  Anon.            2007 11 17  00 10.7 -00 03             21.2   CBET 1167       00 10 39.63 -00 03 10.2   CBET 1167        Ib/c  2007sj  Sloan Digital Sky Survey II
2007si  Anon.            2007 11 12  01 59.9 +01 13             20.8   CBET 1167       01 59 51.14 +01 12 59.3   CBET 1167        Ia    2007si  Sloan Digital Sky Survey II
2007sh  Anon.            2007 11 12  00 29.4 +00 50             21.2   CBET 1167       00 29 24.67 +00 49 53.4   CBET 1167        Ia    2007sh  Sloan Digital Sky Survey II
2007sg  Anon.            2007 11 12  23 19.4 -00 54             22.7   CBET 1167       23 19 26.09 -00 54 05.9   CBET 1167        Ia    2007sg  Sloan Digital Sky Survey II
2007sf  Anon.            2007 11 12  22 49.0 +01 12             22.3   CBET 1167       22 48 59.11 +01 12 21.9   CBET 1167        Ia    2007sf  Sloan Digital Sky Survey II
2007se  Anon.            2007 11 12  22 12.6 +00 48             22.3   CBET 1167       22 12 37.10 +00 47 48.2   CBET 1167        Ia    2007se  Sloan Digital Sky Survey II
2007sd  Anon.            2007 11 11  03 32.0 -00 40             21.0   CBET 1167       03 32 00.58 -00 39 42.7   CBET 1167        IIP   2007sd  Sloan Digital Sky Survey II
2007sc  Anon.            2007 11 11  02 15.2 +00 32             22.1   CBET 1167       02 15 11.87 +00 32 09.3   CBET 1167        Ia    2007sc  Sloan Digital Sky Survey II
2007sb  Anon.            2007 10 11  00 41.4 +00 25             22.0   CBET 1167       00 41 23.75 +00 24 43.0   CBET 1167        Ia    2007sb  Sloan Digital Sky Survey II
2007sa  NGC 3499         2007 11 21  11 03.2 +56 13    2W   8N  14.2   CBET 1161       11 03 10.78 +56 13 26.3   CBET 1161        Ia    2007sa  Mostardi, Li (LOSS)
2007rz  NGC 1590         2007 12 08  04 31.2 +07 38    9E   0N  16.9   CBET 1158       04 31 10.84 +07 37 51.5   CBET 1158        Ic    2007rz  Parisky, Li (LOSS)
2007ry  Anon.            2007 12 08  03 25.7 +41 15    2E   1S  17.9   CBET 1158       03 25 43.16 +41 14 41.6   CBET 1158        Ia    2007ry  Parisky, Li (LOSS)
2007rx  Anon.            2007 11 28  23 40.2 +27 25    2E   6N  17.2   CBET 1157       23 40 11.74 +27 25 16.5   CBET 1157        Ia    2007rx  Yuan et al. (ROTSE)
2007rw  UGC 7798         2007 11 29  12 38.1 -02 16    4E   9N  14.3   CBET 1154       12 38 03.64 -02 15 40.1   CBET 1154        IIb   2007rw  Madison, Li (LOSS)
2007rv  NGC 689          2007 11 07  01 49.9 -27 28   14E   4S  15.9   CBET 1152       01 49 52.86 -27 28 04.1   CBET 1152        Ia    2007rv  Tan
2007ru  UGC 12381        2007 11 27  23 07.4 +43 36    5E  41S  17.5   CBET 1149       23 07 23.14 +43 35 33.7   CBET 1149        Ic-p  2007ru  Donati, Ciabattari
2007rt  UGC 6109         2007 11 24  11 02.6 +50 35    6W   2N  16.8   CBET 1148       11 02 34.29 +50 34 58.5   CBET 1148        IIn   2007rt  Li (LOSS)
2007rs  Anon.            2007 11 11  00 46.5 -01 04             22.5   CBET 1146       00 46 27.40 -01 03 44.1   CBET 1146        Ia    2007rs  Sloan Digital Sky Survey II
2007rr  Anon.            2007 11 07  01 01.8 -00 42             22.2   CBET 1146       01 01 47.80 -00 41 37.0   CBET 1146        Ia    2007rr  Sloan Digital Sky Survey II
2007rq  Anon.            2007 11 07  00 53.5 +00 54             22.4   CBET 1146       00 53 32.11 +00 54 01.0   CBET 1146        Ia    2007rq  Sloan Digital Sky Survey II
2007rp  Anon.            2007 11 05  22 13.7 +00 24             22.3   CBET 1146       22 13 43.58 +00 23 46.7   CBET 1146        Ia    2007rp  Sloan Digital Sky Survey II
2007ro  Anon.            2007 11 05  01 44.5 +00 14             21.5   CBET 1146       01 44 28.97 +00 13 47.2   CBET 1146        Ia    2007ro  Sloan Digital Sky Survey II
2007rn  Anon.            2007 11 04  23 58.0 -00 44             22.8   CBET 1146       23 58 01.40 -00 44 15.2   CBET 1146        Ia    2007rn  Sloan Digital Sky Survey II
2007rm  Anon.            2007 11 04  02 21.8 +00 52             22.7   CBET 1146       02 21 45.09 +00 51 52.1   CBET 1146        Ia    2007rm  Sloan Digital Sky Survey II
2007rl  Anon.            2007 11 04  02 21.6 -00 22             22.5   CBET 1146       02 21 33.07 -00 22 29.7   CBET 1146        Ia    2007rl  Sloan Digital Sky Survey II
2007rk  Anon.            2007 11 02  03 42.3 +01 04             22.2   CBET 1146       03 42 17.43 +01 03 47.3   CBET 1146        Ia    2007rk  Sloan Digital Sky Survey II
2007rj  Anon.            2007 11 02  01 54.0 -00 06             22.5   CBET 1146       01 53 58.86 -00 05 33.6   CBET 1146        Ia    2007rj  Sloan Digital Sky Survey II
2007ri  Anon.            2007 11 02  01 06.9 +01 09             22.8   CBET 1146       01 06 52.35 +01 09 14.6   CBET 1146        Ia    2007ri  Sloan Digital Sky Survey II
2007rh  Anon.            2007 10 31  21 41.1 +00 09             21.5   CBET 1146       21 41 03.77 +00 08 33.2   CBET 1146        Ia?   2007rh  Sloan Digital Sky Survey II
2007rg  Anon.            2007 10 31  20 51.3 +01 01             22.3   CBET 1146       20 51 20.27 +01 01 08.0   CBET 1146        Ia?   2007rg  Sloan Digital Sky Survey II
2007rf  Anon.            2007 10 30  21 55.5 +00 49             21.5   CBET 1146       21 55 31.07 +00 48 54.2   CBET 1146        Ia    2007rf  Sloan Digital Sky Survey II
2007re  Anon.            2007 10 30  21 17.6 -00 31             23.0   CBET 1146       21 17 34.92 -00 31 26.3   CBET 1146        Ia    2007re  Sloan Digital Sky Survey II
2007rd  Anon.            2007 10 30  20 47.0 -00 06             21.4   CBET 1146       20 47 01.09 -00 05 57.6   CBET 1146        Ia?   2007rd  Sloan Digital Sky Survey II
2007rc  Anon.            2007 10 21  01 50.3 -00 24             20.0   CBET 1146       01 50 20.20 -00 24 13.7   CBET 1146        Ia    2007rc  Sloan Digital Sky Survey II
2007rb  NGC 2889         2007 10 26  09 27.2 -11 38   14W  19N  18.0   CBET 1140       09 27 11.58 -11 38 17.7   CBET 1140        Ib/c  2007rb  Madison, Li (LOSS)
2007ra  Anon.            2007 11 12  23 34.4 -00 53             19.9   CBET 1139       23 34 23.95 -00 53 25.2   CBET 1139        Ia    2007ra  Sloan Digital Sky Survey II
2007qz  Anon.            2007 11 05  21 00.0 +00 50             22.4   CBET 1139       21 00 02.77 +00 49 39.3   CBET 1139        Ia    2007qz  Sloan Digital Sky Survey II
2007qy  Anon.            2007 11 05  01 55.3 +00 39             22.1   CBET 1139       01 55 15.28 +00 38 35.2   CBET 1139        Ia    2007qy  Sloan Digital Sky Survey II
2007qx  Anon.            2007 11 05  00 27.7 +01 14             22.4   CBET 1139       00 27 41.78 +01 13 59.7   CBET 1139        Ib    2007qx  Sloan Digital Sky Survey II
2007qw  Anon.            2007 11 04  22 35.5 +00 29             21.2   CBET 1139       22 35 29.01 +00 28 56.2   CBET 1139        Ic    2007qw  Sloan Digital Sky Survey II
2007qv  Anon.            2007 11 04  22 35.1 -01 07             21.9   CBET 1139       22 35 07.91 -01 06 37.5   CBET 1139        II    2007qv  Sloan Digital Sky Survey II
2007qu  Anon.            2007 11 04  22 32.5 +00 52             22.3   CBET 1139       22 32 32.82 +00 51 32.7   CBET 1139        Ia    2007qu  Sloan Digital Sky Survey II
2007qt  Anon.            2007 11 04  03 29.4 -00 39             22.7   CBET 1139       03 29 25.41 -00 38 46.7   CBET 1139        Ia    2007qt  Sloan Digital Sky Survey II
2007qs  Anon.            2007 11 04  03 11.8 +00 06             21.5   CBET 1139       03 11 46.03 +00 05 30.9   CBET 1139        Ia    2007qs  Sloan Digital Sky Survey II
2007qr  Anon.            2007 11 04  02 52.5 -01 08             20.5   CBET 1139       02 52 29.23 -01 08 22.3   CBET 1139        Ia    2007qr  Sloan Digital Sky Survey II
2007qq  Anon.            2007 11 02  02 42.5 -00 58             23.0   CBET 1139       02 42 30.21 -00 58 16.1   CBET 1139        Ia    2007qq  Sloan Digital Sky Survey II
2007qp  Anon.            2007 11 02  00 42.8 +00 23             22.2   CBET 1139       00 42 48.43 +00 22 47.1   CBET 1139        Ia    2007qp  Sloan Digital Sky Survey II
2007qo  Anon.            2007 11 01  01 43.0 -00 57             22.5   CBET 1139       01 43 01.60 -00 56 43.7   CBET 1139        Ia    2007qo  Sloan Digital Sky Survey II
2007qn  Anon.            2007 10 31  23 59.2 +01 10             22.2   CBET 1139       23 59 09.24 +01 09 30.0   CBET 1139        Ia    2007qn  Sloan Digital Sky Survey II
2007qm  Anon.            2007 10 31  22 30.8 +00 01             21.8   CBET 1139       22 30 48.73 +00 00 38.7   CBET 1139        Ia    2007qm  Sloan Digital Sky Survey II
2007ql  Anon.            2007 10 31  21 29.7 +00 27             21.6   CBET 1139       21 29 43.66 +00 26 40.6   CBET 1139        Ia    2007ql  Sloan Digital Sky Survey II
2007qk  Anon.            2007 10 31  21 03.2 +00 27             22.2   CBET 1139       21 03 14.12 +00 27 26.4   CBET 1139        Ia    2007qk  Sloan Digital Sky Survey II
2007qj  Anon.            2007 10 31  20 49.7 +00 28             21.7   CBET 1139       20 49 40.04 +00 28 07.1   CBET 1139        Ia    2007qj  Sloan Digital Sky Survey II
2007qi  Anon.            2007 10 30  23 16.5 -00 06             21.4   CBET 1139       23 16 28.80 -00 05 54.6   CBET 1139        Ia    2007qi  Sloan Digital Sky Survey II
2007qh  Anon.            2007 10 29  00 39.5 +01 01             21.2   CBET 1139       00 39 30.86 +01 01 27.6   CBET 1139        Ia    2007qh  Sloan Digital Sky Survey II
2007qg  Anon.            2007 10 23  01 32.0 -00 26             21.8   CBET 1139       01 32 01.97 -00 25 47.0   CBET 1139        Ia    2007qg  Sloan Digital Sky Survey II
2007qf  Anon.            2007 10 21  22 15.1 -00 20             22.0   CBET 1139       22 15 03.00 -00 20 28.5   CBET 1139        Ia    2007qf  Sloan Digital Sky Survey II
2007qe  Anon.            2007 11 13  23 54.2 +27 25   12E   1N  17.4   CBET 1138       23 54 12.98 +27 24 33.4   CBET 1138        Ia    2007qe  Yuan et al. (ROTSE)
2007qd  Anon.            2007 10 31  02 09.6 -01 00   12E   3S  20.8   CBET 1137       02 09 33.56 -01 00 02.2   CBET 1137        Ia-p  2007qd  Sloan Digital Sky Survey II
2007qc  Anon.            2007 10 27  11 57.1 +53 30             16.8   CBET 1136       11 57 04.75 +53 29 55.3   CBET 1136        Ia    2007qc  Yuan et al. (ROTSE)
2007qb  Anon.            2007 11 08  00 59.3 -00 57             20.2   CBET 1135       00 59 18.73 -00 56 49.4   CBET 1135        II    2007qb  Sloan Digital Sky Survey II
2007qa  Anon.            2007 11 05  01 52.6 +01 15             22.5   CBET 1135       01 52 33.92 +01 14 38.7   CBET 1135        Ia    2007qa  Sloan Digital Sky Survey II
2007pz  Anon.            2007 11 04  03 30.4 +01 01             20.9   CBET 1135       03 30 25.18 +01 00 33.9   CBET 1135        Ia    2007pz  Sloan Digital Sky Survey II
2007py  Anon.            2007 11 04  03 29.5 +00 31             22.4   CBET 1135       03 29 31.60 +00 30 56.0   CBET 1135        Ia    2007py  Sloan Digital Sky Survey II
2007px  Anon.            2007 11 02  00 22.7 -00 29             23.1   CBET 1135       00 22 44.01 -00 28 44.4   CBET 1135        Ia    2007px  Sloan Digital Sky Survey II
2007pw  Anon.            2007 10 30  23 37.6 +00 15             21.6   CBET 1135       23 37 34.65 +00 14 53.2   CBET 1135        Ia    2007pw  Sloan Digital Sky Survey II
2007pv  Anon.            2007 10 30  21 59.8 +01 08             21.5   CBET 1135       21 59 45.15 +01 07 37.0   CBET 1135        Ia    2007pv  Sloan Digital Sky Survey II
2007pu  Anon.            2007 10 29  22 46.0 -00 39             21.6   CBET 1135       22 45 58.15 -00 38 55.4   CBET 1135        Ia    2007pu  Sloan Digital Sky Survey II
2007pt  Anon.            2007 10 29  02 07.6 -00 19             20.5   CBET 1135       02 07 38.51 -00 19 26.4   CBET 1135        Ia    2007pt  Sloan Digital Sky Survey II
2007ps  Anon.            2007 10 21  02 19.2 -00 23             21.8   CBET 1135       02 19 13.53 -00 23 05.4   CBET 1135        Ia    2007ps  Sloan Digital Sky Survey II
2007pr  Anon.            2007 10 20  23 06.2 +00 20             22.9   CBET 1135       23 06 13.03 +00 19 44.3   CBET 1135        Ia    2007pr  Sloan Digital Sky Survey II
2007pq  Anon.            2007 10 15  22 37.2 +00 44             22.1   CBET 1135       22 37 13.94 +00 44 11.0   CBET 1135        Ia    2007pq  Sloan Digital Sky Survey II
2007pp  Anon.            2007 10 15  03 11.0 +00 21             22.2   CBET 1135       03 11 01.16 +00 21 24.3   CBET 1135        Ia    2007pp  Sloan Digital Sky Survey II
2007po  Anon.            2007 10 13  03 35.5 +00 42             22.1   CBET 1135       03 35 32.23 +00 42 12.1   CBET 1135        Ia    2007po  Sloan Digital Sky Survey II
2007pn  Anon.            2007 10 12  02 16.6 -00 43             22.5   CBET 1135       02 16 33.90 -00 43 20.5   CBET 1135        Ia?   2007pn  Sloan Digital Sky Survey II
2007pm  UGC 11585        2007 11 07  20 32.3 -02 15    9E  31S  19.3   CBET 1133       20 32 16.67 -02 15 28.2   CBET 1133        II    2007pm  Li (LOSS)
2007pl  ESO 205-G18      2007 11 05  06 05.2 -49 18    1E   0S  15.2   CBET 1130       06 05 10.80 -49 17 59.1   CBET 1130        Ia    2007pl  Pignata et al. (CHASE)
2007pk  NGC 579          2007 11 10  01 31.8 +33 37    7E   2S  17.0   CBET 1129       01 31 47.07 +33 36 54.1   CBET 1129        IIn   2007pk  Parisky, Li (LOSS)
2007pj  Anon.            2007 10 31  23 49.2 +00 48             22.3   CBET 1128       23 49 10.70 +00 47 52.4   CBET 1128        Ia    2007pj  Sloan Digital Sky Survey II
2007pi  Anon.            2007 10 30  22 46.8 +00 45             22.2   CBET 1128       22 46 49.33 +00 45 22.7   CBET 1128        Ia    2007pi  Sloan Digital Sky Survey II
2007ph  Anon.            2007 10 30  20 51.2 -00 57             21.5   CBET 1128       20 51 13.40 -00 57 20.9   CBET 1128        Ia    2007ph  Sloan Digital Sky Survey II
2007pg  Anon.            2007 10 29  23 27.8 +00 27             19.6   CBET 1128       23 27 49.61 +00 27 26.9   CBET 1128        II?   2007pg  Sloan Digital Sky Survey II
2007pf  Anon.            2007 10 29  22 11.7 +00 35             20.2   CBET 1128       22 11 43.32 +00 34 44.6   CBET 1128        Ia    2007pf  Sloan Digital Sky Survey II
2007pe  Anon.            2007 10 21  02 21.1 +00 30             21.8   CBET 1128       02 21 04.01 +00 29 47.1   CBET 1128        Ia    2007pe  Sloan Digital Sky Survey II
2007pd  Anon.            2007 10 20  23 11.9 -00 35             22.1   CBET 1128       23 11 54.07 -00 34 41.1   CBET 1128        Ia    2007pd  Sloan Digital Sky Survey II
2007pc  Anon.            2007 10 20  21 15.8 +00 39             21.4   CBET 1128       21 15 49.46 +00 39 04.7   CBET 1128        Ia    2007pc  Sloan Digital Sky Survey II
2007pb  Anon.            2007 10 19  23 48.4 -01 11             22.0   CBET 1128       23 48 25.00 -01 11 06.0   CBET 1128        Ia    2007pb  Sloan Digital Sky Survey II
2007pa  Anon.            2007 10 19  21 01.6 -00 16             21.5   CBET 1128       21 01 34.45 -00 16 06.6   CBET 1128        Ia    2007pa  Sloan Digital Sky Survey II
2007oz  Anon.            2007 10 15  23 57.3 +00 15             23.0   CBET 1128       23 57 16.57 +00 14 57.7   CBET 1128        Ia    2007oz  Sloan Digital Sky Survey II
2007oy  Anon.            2007 10 15  23 17.9 +01 13             22.7   CBET 1128       23 17 55.44 +01 13 22.2   CBET 1128        Ia    2007oy  Sloan Digital Sky Survey II
2007ox  Anon.            2007 10 13  22 47.0 -00 04             21.7   CBET 1128       22 46 58.08 -00 04 18.5   CBET 1128        Ia?   2007ox  Sloan Digital Sky Survey II
2007ow  Anon.            2007 10 12  21 34.0 -00 44             22.2   CBET 1128       21 34 02.09 -00 44 25.9   CBET 1128        Ia?   2007ow  Sloan Digital Sky Survey II
2007ov  Anon.            2007 10 12  02 41.1 +00 09             22.3   CBET 1128       02 41 08.76 +00 08 40.0   CBET 1128        Ia    2007ov  Sloan Digital Sky Survey II
2007ou  Anon.            2007 10 12  02 23.7 -00 50             22.5   CBET 1128       02 23 42.69 -00 49 33.6   CBET 1128        Ia    2007ou  Sloan Digital Sky Survey II
2007ot  Anon.            2007 10 12  00 35.6 -00 14             23.0   CBET 1128       00 35 36.76 -00 13 57.7   CBET 1128        Ia    2007ot  Sloan Digital Sky Survey II
2007os  Anon.            2007 10 11  01 57.6 -00 31             22.6   CBET 1128       01 57 38.65 -00 31 19.7   CBET 1128        Ia?   2007os  Sloan Digital Sky Survey II
2007or  Anon.            2007 10 09  01 42.6 +01 02             21.9   CBET 1128       01 42 38.33 +01 01 49.5   CBET 1128        Ia    2007or  Sloan Digital Sky Survey II
2007oq  Anon.            2007 10 06  21 42.5 +00 59             22.0   CBET 1128       21 42 30.75 +00 59 04.6   CBET 1128        Ia?   2007oq  Sloan Digital Sky Survey II
2007op  Anon.            2007 11 04  01 53.2 +33 45    2E   2S  18.5   CBET 1124       01 53 12.36 +33 44 34.0   CBET 1124        Ia    2007op  Quimby, Yuan, Akerlof, Wheeler
2007oo  Anon.            2007 11 06  23 22.3 +50 09    3E  12S  18.9   CBET 1122       23 22 19.50 +50 09 20.0   CBET 1122        Ia    2007oo  Mostardi, Li (LOSS)
2007on  NGC 1404         2007 11 05  03 38.8 -35 34   12W  68N  14.9   CBET 1121       03 38 50.9  -35 34 30     CBET 1121        Ia    2007on  Pollas, Klotz
2007om  Anon.            2007 10 30  23 54.3 -00 55             19.7   CBET 1117       23 54 20.69 -00 55 03.4   CBET 1117        Ia    2007om  Sloan Digital Sky Survey II
2007ol  Anon.            2007 10 29  01 37.4 -00 19             19.4   CBET 1117       01 37 23.70 -00 18 43.2   CBET 1117        Ia    2007ol  Sloan Digital Sky Survey II
2007ok  Anon.            2007 10 17  02 28.4 +00 11             21.3   CBET 1117       02 28 24.27 +00 11 04.8   CBET 1117        Ia    2007ok  Sloan Digital Sky Survey II
2007oj  Anon.            2007 10 15  23 51.6 +00 17             21.6   CBET 1117       23 51 38.01 +00 16 47.4   CBET 1117        Ia    2007oj  Sloan Digital Sky Survey II
2007oi  Anon.            2007 10 13  00 21.3 +01 04             23.1   CBET 1117       00 21 17.87 +01 04 28.3   CBET 1117        Ia?   2007oi  Sloan Digital Sky Survey II
2007oh  Anon.            2007 10 10  20 52.6 -00 27             22.9   CBET 1117       20 52 36.92 -00 27 14.3   CBET 1117        Ia    2007oh  Sloan Digital Sky Survey II
2007og  Anon.            2007 10 08  02 48.3 -00 58             21.4   CBET 1117       02 48 20.54 -00 58 10.7   CBET 1117        IIP   2007og  Sloan Digital Sky Survey II
2007of  Anon.            2007 10 06  21 04.9 +00 04             22.8   CBET 1117       21 04 56.27 +00 03 39.6   CBET 1117        Ia?   2007of  Sloan Digital Sky Survey II
2007oe  Anon.            2007 09 22  00 24.2 +00 47             21.6   CBET 1117       00 24 10.34 +00 46 30.2   CBET 1117        IIn   2007oe  Sloan Digital Sky Survey II
2007od  UGC 12846        2007 11 02  23 55.8 +18 25   38E  31S  14.4   CBET 1116       23 55 48.68 +18 24 54.8   CBET 1116        II    2007od  Maticic (PIKA)
2007oc  NGC 7418         2007 11 03  22 56.7 -36 46    6E   1S  13.6   CBET 1114       22 56 41.77 -36 46 22.3   CBET 1114        II    2007oc  Pignata et al.
2007ob  Anon.            2007 10 28  23 12.4 +13 55    0E   0S  17     CBET 1112       23 12 25.99 +13 54 49.3   CBET 1112        Ia    2007ob  Yuan et al. (ROTSE)
2007oa  Anon.            2007 10 09  22 13.9 -00 55             21.8   CBET 1109       22 13 51.35 -00 55 13.0   CBET 1109        Ia    2007oa  Sloan Digital Sky Survey II
2007nz  Anon.            2007 10 08  03 25.2 -00 06             22.8   CBET 1109       03 25 11.35 -00 06 22.5   CBET 1109        Ia?   2007nz  Sloan Digital Sky Survey II
2007ny  Anon.            2007 10 08  01 40.9 +00 13             21.4   CBET 1109       01 40 55.52 +00 13 07.8   CBET 1109        II-P  2007ny  Sloan Digital Sky Survey II
2007nx  Anon.            2007 10 08  00 03.8 +00 22             20.6   CBET 1109       00 03 48.36 +00 21 31.4   CBET 1109        IIn   2007nx  Sloan Digital Sky Survey II
2007nw  Anon.            2007 10 06  20 47.2 -01 15             20.5   CBET 1109       20 47 11.37 -01 15 26.0   CBET 1109        II-P  2007nw  Sloan Digital Sky Survey II
2007nv  Anon.            2007 10 06  00 05.5 -01 12             21.5   CBET 1109       00 05 30.34 -01 12 16.4   CBET 1109        II-P  2007nv  Sloan Digital Sky Survey II
2007nu  Anon.            2007 10 03  03 11.8 -00 42             21.8   CBET 1109       03 11 50.18 -00 41 32.7   CBET 1109        Ia    2007nu  Sloan Digital Sky Survey II
2007nt  Anon.            2007 10 03  03 06.7 -00 45             22.1   CBET 1109       03 06 43.80 -00 45 14.5   CBET 1109        Ia    2007nt  Sloan Digital Sky Survey II
2007ns  Anon.            2007 09 22  02 37.0 -00 52             22.5   CBET 1109       02 37 02.97 -00 51 59.8   CBET 1109        Ia    2007ns  Sloan Digital Sky Survey II
2007nr  Anon.            2007 09 15  01 02.0 +00 41             21.5   CBET 1109       01 01 59.47 +00 40 55.0   CBET 1109        II-P  2007nr  Sloan Digital Sky Survey II
