Download  Object Name SN Type SNID Match  Filename  Observation Date  Phase (Peak | Discovery)  Instrument  Wavelength Range  S/N Ratio Observer | Reducer  Reference
SN 2006eb Ia  Ia,Ia-norm  sn2006eb-20060818.466-ui.flm  20060818.466  None | 27 Kast  3298.0 - 10600.0  16.0777 Moore, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006ef Ia  Ia,Ia-norm  sn2006ef-20060824.454-ui.flm  20060824.454  3.9 | 6 Kast  3320.0 - 10400.0  64.4957 Jeffrey Silverman, Moore | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006ef Ia  Ia,Ia-99aa,Ia-norm  sn2006ef-20060925.377-ui.flm  20060925.377  35.4 | 38 Kast  3310.0 - 10400.0  30.2013 Wong, Jeffrey Silverman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006ef Ia  Ia,Ia-norm  sn2006ef-20060919.421-ui.flm  20060919.421  29.5 | 32 Kast  3320.0 - 10600.0  29.1514 Jeffrey Silverman, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2006ej Ia  Ia,Ia-norm  sn2006ej-20060824.430-ui.flm  20060824.43 -4.9 | 1  Kast  3320.0 - 10399.0  58.9387 Jeffrey Silverman, Moore | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006ej Ia  Ia,Ia-norm  sn2006ej-20060902.398-ui.flm  20060902.398  3.9 | 10  Kast  3320.0 - 10400.0  36.2967 Moore, Wong, Ganesh | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006ej Ia  Ia,Ia-norm  sn2006ej-20060925.299-ui.flm  20060925.299  26.5 | 33 Kast  3310.0 - 10400.0  28.6115 Wong, Jeffrey Silverman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006ej Ia  Ia,Ia-norm  sn2006ej-20060919.290-ui.flm  20060919.29 20.6 | 27 Kast  3320.0 - 10600.0  37.2989 Jeffrey Silverman, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2006em Ia-pec  Ia,Ia-91bg  sn2006em-20060902.440-ui.flm  20060902.44 6.9 | 8 Kast  3320.0 - 10400.0  39.4568 Moore, Wong, Ganesh | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006em Ia-pec  Ia,Ia-91bg  sn2006em-20060925.415-ui.flm  20060925.415  29.4 | 31 Kast  3310.0 - 10400.0  8.76185 Wong, Jeffrey Silverman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006em Ia-pec  Ia,Ia-91bg  sn2006em-20060919.456-ui.flm  20060919.456  23.5 | 25 Kast  3510.0 - 10182.0  17.9847 Jeffrey Silverman, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2006en Ia  Ia,Ia-norm  sn2006en-20060902.319-ui.flm  20060902.319  8.7 | 7 Kast  3320.0 - 10400.0  13.6116 Moore, Wong, Ganesh | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006en Ia  Ia,Ia-99aa,Ia-norm  sn2006en-20060925.232-ui.flm  20060925.232  31.0 | 30 Kast  3732.0 - 10242.0  9.09882 Wong, Jeffrey Silverman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006en Ia  Ia,Ia-99aa,Ia-norm  sn2006en-20060919.209-ui.flm  20060919.209  25.2 | 24 Kast  3592.0 - 10600.0  11.0959 Jeffrey Silverman, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2006es Ia  Ia,Ia-norm  sn2006es-20060902.482-ui.flm  20060902.482  None | 1  Kast  3320.0 - 10400.0  14.2419 Moore, Wong, Ganesh | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006es Ia  Ia,Ia-norm  sn2006es-20060919.499-ui.flm  20060919.499  None | 18 Kast  3364.0 - 10190.0  10.7061 Jeffrey Silverman, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2006et Ia  Ia,Ia-norm  sn2006et-20060925.321-ui.flm  20060925.321  8.8 | 22  Kast  3310.0 - 10400.0  35.5965 Wong, Jeffrey Silverman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006et Ia  Ia,Ia-norm  sn2006et-20061030.278-ui.flm  20061030.278  43.0 | 57 Kast  3328.0 - 10500.0  21.158  Mohan Ganeshalingam, Jeffrey Silverman | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006et Ia  Ia,Ia-norm  sn2006et-20060919.345-ui.flm  20060919.345  2.9 | 16  Kast  3320.0 - 10600.0  38.2693 Jeffrey Silverman, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2006eu Ia  Ia,Ia-norm  sn2006eu-20060925.143-ui.flm  20060925.143  13.7 | 22 Kast  3310.0 - 10400.0  32.5262 Wong, Jeffrey Silverman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006eu Ia  Ia,Ia-91bg,Ia-norm  sn2006eu-20060919.155-ui.flm  20060919.155  7.8 | 16  Kast  3320.0 - 10600.0  31.5309 Jeffrey Silverman, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2006ev Ia  Ia,Ia-norm  sn2006ev-20060925.175-ui.flm  20060925.175  13.6 | 13 Kast  3310.0 - 10400.0  19.4244 Wong, Jeffrey Silverman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006ev Ia  Ia,Ia-norm  sn2006ev-20060919.183-ui.flm  20060919.183  7.8 | 7 Kast  3320.0 - 10600.0  26.8008 Jeffrey Silverman, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2006gj Ia  Ia,Ia-norm  sn2006gj-20060925.482-ui.flm  20060925.482  3.9 | 7 Kast  3310.0 - 10400.0  21.6333 Wong, Jeffrey Silverman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006gr Ia  Ia,Ia-norm  sn2006gr-20060925.202-ui.flm  20060925.202  -9.7 | 35 Kast  3310.0 - 10400.0  29.4083 Wong, Jeffrey Silverman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006gr Ia  Ia,Ia-99aa,Ia-norm  sn2006gr-20061030.101-ui.flm  20061030.101  24.2 | 70 Kast  3342.0 - 10500.0  22.0977 Mohan Ganeshalingam, Jeffrey Silverman | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006gr Ia  Ia,Ia-norm  sn2006gr-20061024.150-ui.flm  20061024.15 18.4 | 64 Kast  3310.0 - 10500.0  15.5521 Wong, Moore, Pooley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006gt Ia  Ia,Ia-91bg,Ia-norm  sn2006gt-20060925.348-ui.flm  20060925.348  0.0 | 7 Kast  3310.0 - 10400.0  17.8853 Wong, Jeffrey Silverman | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006ha Ia  Ia,NotSN,AGN,Ia-norm  sn2006ha-20061124.351-600b.flm  20061124.351  49.5 | 58 DEIMOS  4791.55 - 10006.5 18.2327 Alex Filippenko, Ryan Foley, Rodney | Ryan Foley  2012MNRAS.425.1789S
SN 2006hb Ia  Ia,Ia-norm  sn2006hb-20061030.489-ui.flm  20061030.489  36.4 | 33 Kast  3328.0 - 10500.0  30.8102 Mohan Ganeshalingam, Jeffrey Silverman | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006hn Ia  Ia,Ia-norm,Ia-02cx  sn2006hn-20061024.488-ui.flm  20061024.488  None | 26 Kast  3312.0 - 10500.0  34.9416 Wong, Moore, Pooley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006je Ia-pec  Ia,Ia-91bg,Ia-norm  sn2006je-20061030.313-ui.flm  20061030.313  22.2 | 15 Kast  3326.0 - 10500.0  6.22351 Mohan Ganeshalingam, Jeffrey Silverman | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006je Ia-pec  Ia,Ia-norm  sn2006je-20061024.247-ui.flm  20061024.247  16.4 | 9  Kast  3310.0 - 10500.0  16.3648 Wong, Moore, Pooley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006ke Ia  Ia,Ia-91bg  sn2006ke-20061030.525-ui.flm  20061030.525  7.9 | 11  Kast  3328.0 - 10500.0  22.279  Mohan Ganeshalingam, Jeffrey Silverman | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006ke Ia  Ia,Ia-91bg,Ia-norm  sn2006ke-20061024.397-ui.flm  20061024.397  2.0 | 5 Kast  3312.0 - 10500.0  26.0392 Wong, Moore, Pooley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006kf Ia  Ia,Ia-norm  sn2006kf-20061030.385-ui.flm  20061030.385  -2.0 | 9  Kast  3328.0 - 10500.0  55.6058 Mohan Ganeshalingam, Jeffrey Silverman | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006kf Ia  Ia,Ia-norm  sn2006kf-20061024.352-ui.flm  20061024.352  -7.8 | 3  Kast  3312.0 - 10500.0  31.1732 Wong, Moore, Pooley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006kf Ia  Ia,Ia-norm  sn2006kf-20061120.241-ui.flm  20061120.241  18.6 | 30 Kast  3314.0 - 10500.0  25.9881 Jeffrey Silverman, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006le Ia  Ia,Ia-norm  sn2006le-20061030.456-ui.flm  20061030.456  -9.8 | 4  Kast  3328.0 - 10500.0  70.851  Mohan Ganeshalingam, Jeffrey Silverman | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006le Ia  Ia,Ia-99aa,Ia-norm  sn2006le-20061220.196-ui.flm  20061220.196  40.3 | 55 Kast  3310.0 - 10500.0  19.468  Jeffrey Silverman, Moore, Mohan Ganeshalingam | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006le Ia  Ia,Ia-norm  sn2006le-20061120.427-ui.flm  20061120.427  10.8 | 25 Kast  3314.0 - 10500.0  36.4539 Jeffrey Silverman, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006lf Ia  Ia,Ia-norm  sn2006lf-20061030.420-ui.flm  20061030.42 -6.9 | 4  Kast  3328.0 - 10500.0  51.3612 Mohan Ganeshalingam, Jeffrey Silverman | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006lf Ia  Ia,Ia-norm  sn2006lf-20061220.150-ui.flm  20061220.15 43.4 | 55 Kast  3310.0 - 10500.0  6.818 Jeffrey Silverman, Moore, Mohan Ganeshalingam | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006lf Ia  Ia,Ia-norm  sn2006lf-20061201.194-ui.flm  20061201.194  24.7 | 36 Kast  3310.0 - 10500.0  26.9624 Jeffrey Silverman, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006lf Ia  Ia,Ia-norm  sn2006lf-20061120.276-ui.flm  20061120.276  13.8 | 25 Kast  3314.0 - 10500.0  21.8577 Jeffrey Silverman, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006mo Ia  Ia,Ia-norm  sn2006mo-20061120.174-ui.flm  20061120.174  11.6 | 19 Kast  3314.0 - 10500.0  27.8263 Jeffrey Silverman, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006mp Ia  Ia,Ia-99aa,Ia-norm  sn2006mp-20061120.101-ui.flm  20061120.101  4.9 | 17  Kast  3314.0 - 10500.0  43.7576 Jeffrey Silverman, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006nr Ia  Ia,Ia-norm  sn2006nr-20061120.470-ui.flm  20061120.47 None | 25 Kast  3314.0 - 10500.0  6.34496 Jeffrey Silverman, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006ob Ia  Ia,Ia-csm,Ia-norm sn2006ob-20061201.107-ui.flm  20061201.107  6.6 | 18  Kast  3310.0 - 10500.0  5.07494 Jeffrey Silverman, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006or Ia  Ia,Ia-norm  sn2006or-20061201.530-ui.flm  20061201.53 3.9 | 13  Kast  3310.0 - 10252.0  28.9825 Jeffrey Silverman, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006or Ia  Ia,Ia-norm  sn2006or-20061123.654-br.flm  20061123.654  -3.9 | 5  LRIS  3046.0 - 9250.0 56.3052 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2006os Ia  Ia,Ia-norm  sn2006os-20061220.233-ui.flm  20061220.233  27.1 | 29 Kast  3310.0 - 10500.0  14.1168 Jeffrey Silverman, Moore, Mohan Ganeshalingam | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006os Ia  Ia,Ia-norm  sn2006os-20061201.142-ui.flm  20061201.142  8.7 | 10  Kast  3310.0 - 10500.0  17.5873 Jeffrey Silverman, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006ot Ia  Ia,Ia-norm  sn2006ot-20061201.241-ui.flm  20061201.241  6.6 | 9 Kast  3306.0 - 10500.0  12.7621 Jeffrey Silverman, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006ot Ia  Ia,Ia-norm  sn2006ot-20061123.362-br.flm  20061123.362  -0.9 | 1  LRIS  3114.0 - 9250.0 43.3433 Alex Filippenko, Ryan Foley | Ryan Foley  2012MNRAS.425.1789S
SN 2006ow Ia  Ia,Ia-norm  sn2006ow-20061201.309-ui.flm  20061201.309  None | 5  Kast  3310.0 - 10500.0  15.0391 Jeffrey Silverman, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006qo Ia  Ia,Ia-norm  sn2006qo-20061201.436-ui.flm  20061201.436  -12.6 | 2 Kast  3310.0 - 10500.0  24.7178 Jeffrey Silverman, Wong | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006sr Ia  Ia,Ia-norm  sn2006sr-20061220.097-ui.flm  20061220.097  -2.9 | 8  Kast  3310.0 - 10500.0  45.7535 Jeffrey Silverman, Moore, Mohan Ganeshalingam | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006sr Ia  Ia,Ia-norm  sn2006sr-20061225.242-br.flm  20061225.242  2.0 | 13  LRIS  3278.0 - 9240.0 61.6172 Alex Filippenko, Ryan Foley | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2006su Ia  Ia,Ia-norm  sn2006su-20061223.672-deimos.flm  20061223.672  None | 5  DEIMOS  4472.8 - 9574.0 10.6941 Ryan Foley, Alex Filippenko | Ryan Foley  2012MNRAS.425.1789S
SN 2006td Ia  Ia,Ia-norm  sn2006td-20070121.218-ui.flm  20070121.218  22.6 | 28 Kast  3388.0 - 10588.0  12.3685 Mohan Ganeshalingam, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006te Ia  Ia,Ia-91T,Ia-norm sn2006te-20070126.326-ui.flm  20070126.326  28.1 | 29 Kast  3330.0 - 10500.0  7.18387 Moore, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006te Ia  Ia,Ia-norm  sn2006te-20070121.393-ui.flm  20070121.393  23.3 | 24 Kast  3326.0 - 10600.0  18.6213 Mohan Ganeshalingam, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2006te Ia  Ia,Ia-norm  sn2006te-20070218.307-ui.flm  20070218.307  50.4 | 52 Kast  3334.0 - 10140.0  7.18816 Mohan Ganeshalingam, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2007A  Ia  Ia,Ia-norm  sn2007a-20070126.140-ui.flm 20070126.14 12.8 | 24 Kast  3326.0 - 10500.0  39.832  Moore, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007A  Ia  Ia,Ia-norm  sn2007a-20070113.208-br.flm 20070113.208  0.0 | 11  LRIS  3284.0 - 9254.0 77.1289 Ryan Foley | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007A  Ia  Ia,Ia-99aa,Ia-norm  sn2007a-20070218.144-ui.flm 20070218.144  35.4 | 47 Kast  3378.0 - 10270.0  9.70641 Mohan Ganeshalingam, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2007B  Ia  Ia,Ia-norm  sn2007b-20070126.116-ui.flm 20070126.116  None | 21 Kast  3326.0 - 10500.0  24.5459 Moore, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007B  Ia  Ia,Ia-norm  sn2007b-20070113.203-br.flm 20070113.203  None | 8  LRIS  3284.0 - 9254.0 62.8852 Ryan Foley | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007B  Ia  Ia,Ia-norm  sn2007b-20070121.219-br.flm 20070121.219  None | 16 LRIS  3218.0 - 9250.0 56.3079 Alex Filippenko, Ryan Foley, Jeffrey Silverman | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007E  Ia  Ia,Ia-norm  sn2007e-20070113.213-br.flm 20070113.213  None | 3  LRIS  3284.0 - 9254.0 53.5816 Ryan Foley | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007E  Ia  Ia,Ia-norm  sn2007e-20070121.192-ui.flm 20070121.192  None | 11 Kast  3326.0 - 10600.0  5.63262 Mohan Ganeshalingam, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007F  Ia  Ia,Ia-norm  sn2007f-20070126.534-ui.flm 20070126.534  2.0 | 15  Kast  3330.0 - 10500.0  48.1982 Moore, Thea Steele | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007F  Ia  Ia,Ia-norm  sn2007f-20070113.658-br.flm 20070113.658  -10.7 | 2 LRIS  3318.0 - 9254.0 81.4185 Ryan Foley | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007F  Ia  Ia,Ia-99aa,Ia-norm  sn2007f-20070317.636-deimos.flm 20070317.636  50.8 | 65 DEIMOS  4493.6 - 9580.5 30.7211 Jeffrey Silverman, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2007F  Ia  Ia,Ia-99aa,Ia-norm  sn2007f-20070218.420-ui.flm 20070218.42 24.4 | 38 Kast  3334.0 - 10500.0  32.7139 Mohan Ganeshalingam, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2007J  Ib-pec/Iax  Ia,Ib,Ib-norm,Ia-norm sn2007j-20070121.260-ui.flm 20070121.26 None | 6  Kast  3370.0 - 10600.0  2.02601 Mohan Ganeshalingam, Thea Steele | Jeffrey Silverman  2013ApJ...767...57F
SN 2007J  Ib-pec/Iax  Ia,Ib,Ib-norm,Ia-norm sn2007j-20070121.366-br.flm 20070121.366  None | 6  LRIS  3206.0 - 9250.0 17.5427 Alex Filippenko, Ryan Foley, Jeffrey Silverman | Jeffrey Silverman  2013ApJ...767...57F
SN 2007J  Ib-pec/Iax  Ia,NotSN,Gal,Ia-norm  sn2007j-20070214.292-br.flm 20070214.292  None | 30 LRIS  3200.0 - 9238.0 10.3737 Alex Filippenko, Ryan Foley, Jeffrey Silverman, Ryan Chornock | Ryan Chornock 2013ApJ...767...57F
SN 2007J  Ib-pec/Iax  II,NotSN,Gal,IIP  sn2007j-20070318.256-br.flm 20070318.256  None | 62 LRIS  3568.0 - 9210.0 4.81134 Jeffrey Silverman, Ryan Chornock | Jeffrey Silverman  2013ApJ...767...57F
SN 2007M  Ia  Ia,Ia-99aa,Ia-norm  sn2007m-20070122.487-deimos.flm 20070122.487  None | 8  DEIMOS  4426.65 - 9569.45 27.3854 Alex Filippenko, Ryan Foley, Jeffrey Silverman | Ryan Foley 2012MNRAS.425.1789S
SN 2007N  Ia  Ia,Ia-91bg,Ia-norm  sn2007n-20070122.583-deimos.flm 20070122.583  2.0 | 1 DEIMOS  4448.1 - 9569.45  60.0068 Alex Filippenko, Ryan Foley, Jeffrey Silverman | Ryan Foley 2012MNRAS.425.1789S
SN 2007N  Ia  Ia,Ia-91bg,Ia-norm  sn2007n-20070214.668-br.flm 20070214.668  24.7 | 24 LRIS  3200.0 - 9238.0 20.8172 Alex Filippenko, Ryan Foley, Jeffrey Silverman, Ryan Chornock | Ryan Chornock 2012MNRAS.425.1789S
SN 2007O  Ia  Ia,Ia-norm  sn2007o-20070122.663-deimos.flm 20070122.663  -1.0 | 1  DEIMOS  4431.85 - 9569.45 53.7751 Alex Filippenko, Ryan Foley, Jeffrey Silverman | Ryan Foley 2012MNRAS.425.1789S
SN 2007O  Ia  Ia,Ia-norm  sn2007o-20070218.487-ui.flm 20070218.487  25.1 | 28 Kast  3334.0 - 10292.0  14.2998 Mohan Ganeshalingam, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2007R  Ia  Ia,Ia-norm  sn2007r-20070218.230-ui.flm 20070218.23 21.3 | 23 Kast  3472.0 - 10074.0  15.0867 Mohan Ganeshalingam, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2007S  Ia  Ia,Ia-norm  sn2007s-20070218.375-ui.flm 20070218.375  4.9 | 20  Kast  3334.0 - 10500.0  49.2937 Mohan Ganeshalingam, Thea Steele | Thea Steele  2012MNRAS.425.1789S
SN 2007S  Ia  Ia,Ia-99aa,Ia-norm  sn2007s-20070416.352-br.flm 20070416.352  61.2 | 77 LRIS  3116.0 - 9330.0 21.5799 Perley, Bloom, Foley, Kocevski | Ryan Chornock  2012MNRAS.425.1789S
SN 2007S  Ia  Ia,Ia-norm  sn2007s-20070318.357-br.flm 20070318.357  32.5 | 48 LRIS  3450.0 - 9240.0 60.0481 Jeffrey Silverman, Ryan Chornock | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007V  Ia  Ia,Ia-norm  sn2007v-20070214.577-br.flm 20070214.577  None | 2  LRIS  3210.0 - 9238.0 32.1095 Alex Filippenko, Ryan Foley, Jeffrey Silverman, Ryan Chornock | Ryan Chornock 2012MNRAS.425.1789S
SN 2007af Ia  Ia,Ia-norm  sn2007af-20070707.205-ui.flm  20070707.205  114.4 | 128 Kast  3310.0 - 10500.0  31.638  Jeffrey Silverman, Mohan Ganeshalingam, Xiaofeng Wang | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2007af Ia  Ia,Ia-norm  sn2007af-20070313.545-ui.flm  20070313.545  -1.0 | 12 Kast  3350.0 - 10500.0  80.1165 Ryan Foley, Alex Filippenko, Dan Kasen | Jeffrey Silverman  2007ApJ...671L..25S
SN 2007af Ia  Ia,Ia-norm  sn2007af-20070410.396-ui.flm  20070410.396  26.9 | 40 Kast  3314.0 - 10600.0  69.5672 Frank Serduke, Alex Filippenko, Moore | Jeffrey Silverman 2007ApJ...671L..25S
SN 2007af Ia  Ia,Ia-norm  sn2007af-20070614.314-ui.flm  20070614.314  91.5 | 105  Kast  3324.0 - 10500.0  32.6925 Frank Serduke, Desroches, Mohan Ganeshalingam | Jeffrey Silverman 2007ApJ...671L..25S
SN 2007af Ia  Ia,Ia-norm  sn2007af-20070715.213-ui.flm  20070715.213  122.3 | 136 Kast  3324.0 - 10500.0  18.1316 Desroches, Wang, Ganesh | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2007af Ia  Ia,Ia-norm,Ia-pec sn2007af-20070807.214-ui.flm  20070807.214  145.2 | 159 Kast  3328.0 - 10600.0  5.8959  Jeffrey Silverman, Xiaofeng Wang | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007af Ia  Ia,Ia-norm  sn2007af-20070317.653-deimos.flm  20070317.653  3.0 | 16  DEIMOS  4420.8 - 9580.5 91.0369 Jeffrey Silverman, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2007af Ia  Ia,Ia-norm,Ia-pec sn2007af-20070821.210-ui.flm  20070821.21 159.1 | 173 Kast  3638.0 - 10370.0  6.82787 Xiaofeng Wang, Frank Serduke | Thea Steele  2012MNRAS.425.1789S
SN 2007af Ia  Ia,Ia-norm  sn2007af-20070318.633-br.flm  20070318.633  4.0 | 17  LRIS  3450.0 - 9240.0 93.2112 Jeffrey Silverman, Ryan Chornock | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007aj Ia  Ia,Ia-norm  sn2007aj-20070313.374-ui.flm  20070313.374  None | 10 Kast  3350.0 - 10500.0  32.615  Ryan Foley, Alex Filippenko, Dan Kasen | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007aj Ia  Ia,Ia-norm  sn2007aj-20070410.443-ui.flm  20070410.443  None | 38 Kast  3314.0 - 10600.0  9.50488 Frank Serduke, Alex Filippenko, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2007al Ia  Ia,Ic-norm,Ia-91bg  sn2007al-20070313.289-ui.flm  20070313.289  4.9 | 3 Kast  3340.0 - 10500.0  31.3091 Ryan Foley, Alex Filippenko, Dan Kasen | Jeffrey Silverman  2012MNRAS.425.1789S
SN 2007ao Ia  Ic,Ic-broad sn2007ao-20070317.644-deimos.flm  20070317.644  None | 4  DEIMOS  4555.35 - 9580.5  26.8147 Jeffrey Silverman, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2007ap Ia  Ia,Ia-norm  sn2007ap-20070410.502-ui.flm  20070410.502  33.5 | 28 Kast  3314.0 - 10600.0  19.7703 Frank Serduke, Alex Filippenko, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2007ap Ia  Ia,Ia-norm  sn2007ap-20070413.633-deimos.flm  20070413.633  36.4 | 31 DEIMOS  4488.4 - 9574.0 39.0073 Alex Filippenko, Ryan Foley, Jeffrey Silverman | Ryan Foley 2012MNRAS.425.1789S
SN 2007ap Ia  Ia,Ia-norm  sn2007ap-20070317.649-deimos.flm  20070317.649  9.8 | 4 DEIMOS  4441.6 - 9580.5 63.9309 Jeffrey Silverman, Ryan Chornock | Ryan Foley 2012MNRAS.425.1789S
SN 2007au Ia  Ia,Ia-norm  sn2007au-20070410.192-ui.flm  20070410.192  15.7 | 23 Kast  3324.0 - 10600.0  24.9329 Frank Serduke, Alex Filippenko, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2007au Ia  Ia,Ia-norm  sn2007au-20070426.255-ui.flm  20070426.255  31.4 | 39 Kast  3706.0 - 9276.0 6.85921 Thea Steele, Moore | Thea Steele  2012MNRAS.425.1789S
SN 2007ax Ia  Ia,Ia-91bg  sn2007ax-20070410.281-ui.flm  20070410.281  14.9 | 20 Kast  3314.0 - 10600.0  23.6005 Frank Serduke, Alex Filippenko, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2007ba Ia  Ia,Ia-91bg,Ia-norm  sn2007ba-20070410.475-ui.flm  20070410.475  1.9 | 12  Kast  3314.0 - 10600.0  16.719  Frank Serduke, Alex Filippenko, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2007ba Ia  Ia,Ia-91bg,Ia-norm  sn2007ba-20070413.629-deimos.flm  20070413.629  4.8 | 15  DEIMOS  4446.8 - 9574.0 34.8183 Alex Filippenko, Ryan Foley, Jeffrey Silverman | Ryan Foley 2012MNRAS.425.1789S
SN 2007ba Ia  Ia,Ia-91bg,Ia-norm  sn2007ba-20070416.623-deimos.flm  20070416.623  7.7 | 18  DEIMOS  4446.8 - 9574.0 33.8792 Spinrad, Dickinson, Stern, Cooper, Noeske, Rice | Ryan Foley  2012MNRAS.425.1789S
SN 2007bc Ia  Ia,Ia-norm  sn2007bc-20070410.323-ui.flm  20070410.323  0.0 | 6 Kast  3314.0 - 10600.0  47.0006 Frank Serduke, Alex Filippenko, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
SN 2007bc Ia  Ia,Ia-norm  sn2007bc-20070426.387-ui.flm  20070426.387  15.7 | 22 Kast  3578.0 - 10500.0  15.6972 Thea Steele, Moore | Thea Steele  2012MNRAS.425.1789S
SN 2007bd Ia  Ia,Ia-norm  sn2007bd-20070410.254-ui.flm  20070410.254  -5.8 | 6  Kast  3316.0 - 10600.0  19.7451 Frank Serduke, Alex Filippenko, Moore | Jeffrey Silverman 2012MNRAS.425.1789S
